winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
ref,pretrain_6b_t.7,1500.0,1500.0,1516.0,1484.0,0.5,16.0,-16.0
sup4_6b_ppo_rm4_6b_kl14,ref,1604.4602818327062,1544.3432877010505,1617.7190941768533,1531.0844753569033,0.5856621142454048,13.258812344147145,-13.258812344147145
ref,sup4_6b_t0.7,1704.5184278475651,1381.758812991613,1708.8365636510566,1377.4406771881215,0.8650582561408903,4.3181358034914865,-4.3181358034914865
sup4_6b_ppo_rm4_6b_kl14,sup4_6b_t0.7,1679.613692475873,1329.4168450451143,1683.3751041150135,1325.6554334059738,0.8824558862768568,3.7614116391405332,-3.7614116391405332
sup4_6b_ppo_rm4_6b_kl14,sup4_6b_t0.7,1726.5416741045462,1312.0545494194448,1729.237612744286,1309.358610779705,0.9157519175081333,2.6959386397397793,-2.6959386397397793
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,1052.0,1052.0,1068.0,1036.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-548.0,-548.0,-532.0,-564.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-1316.0,-1316.0,-1300.0,-1332.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,28.0,28.0,44.0,12.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,1149.1068158970681,1149.1068158970681,1165.1068158970681,1133.1068158970681,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,342.86499457561604,342.86499457561604,358.86499457561604,326.86499457561604,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-2948.0,-2948.0,-2932.0,-2964.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-3828.0,-3828.0,-3812.0,-3844.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-4836.0,-4836.0,-4820.0,-4852.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-5988.0,-5988.0,-5972.0,-6004.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-1161.141102451179,-1161.141102451179,-1145.141102451179,-1177.141102451179,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-2761.141102451179,-2761.141102451179,-2745.141102451179,-2777.141102451179,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-7108.0,-7108.0,-7092.0,-7124.0,0.5,16.0,-16.0
ref,sup4_t0.7,875.1691471729391,-3129.1411024964254,875.1691471761392,-3129.1411024996255,0.9999999999,3.200057108188048e-09,-3.200057108188048e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-4788.0,-4788.0,-4772.0,-4804.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-8916.0,-8916.0,-8900.0,-8932.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-9620.0,-9620.0,-9604.0,-9636.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-3817.1411027491304,-3817.1411027491304,-3801.1411027491304,-3833.1411027491304,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-10196.0,-10196.0,-10180.0,-10212.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-7284.0,-7284.0,-7268.0,-7300.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-7844.0,-7844.0,-7828.0,-7860.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-8388.0,-8388.0,-8372.0,-8404.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-14628.0,-14628.0,-14612.0,-14644.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-5065.14110282912,-5065.14110282912,-5049.14110282912,-5081.14110282912,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-15780.0,-15780.0,-15764.0,-15796.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-16724.0,-16724.0,-16708.0,-16740.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-11556.0,-11556.0,-11540.0,-11572.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-12180.0,-12180.0,-12164.0,-12196.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-5433.141102950705,-5433.141102950705,-5417.141102950705,-5449.141102950705,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-18596.0,-18596.0,-18580.0,-18612.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-15316.0,-15316.0,-15300.0,-15332.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-16820.0,-16820.0,-16804.0,-16836.0,0.5,16.0,-16.0
ref,sup4_t0.7,-180.8308522927557,-5577.141103030695,-180.8308522895557,-5577.141103033895,0.9999999999,3.200000264769187e-09,-3.1996023608371615e-09
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-20196.0,-20196.0,-20180.0,-20212.0,0.5,16.0,-16.0
